Model;ID#;Run desc;Rep;Epoch;DPDD score;Loss (validation);Data Dropped
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;1;2;9.5047;0.9649;18/182
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;1;10.5277;0.9623;20/202
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;2;11.1001;0.8003;18/182
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;1;8.1043;1.1193;39/390
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;2;6.8235;0.9034;35/351
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;1;7.6693;1.0554;39/390
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;2;6.4573;0.7983;35/351
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;1;8.3342;1.2512;14/139
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;2;8.0697;0.9406;13/125
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;1;8.6836;1.3740;14/139
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;2;8.4418;0.9966;13/125
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;1;7.1868;1.1101;20/202
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;2;6.8984;0.9464;18/182
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;1;7.7430;0.9819;20/202
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;2;7.1360;0.8013;18/182
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;1;7.1006;0.8787;39/390
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;2;4.6161;0.7076;35/351
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;1;7.5602;0.8585;39/390
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;2;4.6724;0.6564;35/351
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;1;8.7205;0.9219;14/139
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;2;7.6273;0.7119;13/125
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;2;1;9.0686;1.0959;14/139
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;3;2;5.5893;0.8225;13/125
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;1;6.9819;0.9918;20/202
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;2;4.7702;0.8815;18/182
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;1;7.3878;0.8488;20/202
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;2;7.6488;0.7417;18/182
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;1;4.7721;0.8881;39/390
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;2;3.1600;0.6997;35/351
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;1;4.7596;0.8030;39/390
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;2;3.1624;0.6401;35/351
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;1;6.6209;0.9882;14/139
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;2;9.2849;0.7019;13/125
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;1;6.0978;1.0557;14/139
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;2;5.2529;0.7786;13/125
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;1;4.8637;0.9556;20/202
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;2;3.3003;0.8629;18/182
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;1;5.3696;0.8304;20/202
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;2;3.5332;0.7012;18/182
