"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Property Standards Appeal Committee-07 Sep 2022.pdf","Property Standards Appeal Committee","634","2","1","14","15","32","0.03233868910992094","0.027874564459930314","0.030106626784925625"
"Heritage Whitby Advisory Committee-12 Jun 2018.pdf","Heritage Whitby Advisory Committee","1986","10","0","69","47","126","0.10130068859984698","0.10975609756097561","0.10552839308041129"
"Special Council-16 Jun 2014.pdf","Special Council","756","5","0","13","29","47","0.03856159143075746","0.040940766550522645","0.039751178990640054"
"Public Meetings-10 Jan 2022.pdf","Public Meetings","1146","4","0","28","33","65","0.058454475899005355","0.05662020905923345","0.0575373424791194"
"Regular Council-12 Dec 2022.pdf","Regular Council","3953","9","0","134","80","223","0.2016322366743178","0.19425087108013936","0.19794155387722856"
"Committee of Adjustment-11 Feb 2021.pdf","Committee of Adjustment","4544","34","0","62","120","216","0.2317776077531242","0.18815331010452963","0.2099654589288269"
"Heritage Whitby Advisory Committee-09 Apr 2024.pdf","Heritage Whitby Advisory Committee","1369","13","0","37","36","86","0.06982912522315736","0.07491289198606271","0.07237100860461004"
"Committee of Adjustment-21 Oct 2021.pdf","Committee of Adjustment","3469","6","2","47","65","120","0.1769446569752614","0.10452961672473868","0.14073713685000006"
"Special Council-06 Jun 2024.pdf","Special Council","221","0","0","9","15","24","0.011272634532007142","0.020905923344947737","0.01608927893847744"
"Whitby Sustainability Advisory Committee-08 Jan 2025.pdf","Whitby Sustainability Advisory Committee","1251","5","0","49","38","92","0.06381025248661056","0.08013937282229965","0.0719748126544551"
"Committee of the Whole-06 Mar 2023.pdf","Committee of the Whole","4565","9","1","134","95","239","0.23284876307064525","0.20818815331010454","0.2205184581903749"
"Special Council-18 Nov 2024.pdf","Special Council","1486","3","0","53","47","103","0.07579699056363173","0.0897212543554007","0.08275912245951622"
"Regular Council-17 Sep 2018.pdf","Regular Council","7760","30","1","280","128","439","0.3958173935220607","0.382404181184669","0.38911078735336485"
"Regular Council-20 Mar 2023.pdf","Regular Council","7264","33","3","239","128","403","0.3705177250701352","0.3510452961672474","0.3607815106186913"
"Special Council-26 Jun 2013.pdf","Special Council","1726","6","0","54","48","108","0.08803876562101505","0.09407665505226481","0.09105771033663992"
"Public Meetings-25 Mar 2024.pdf","Public Meetings","1273","19","0","21","27","67","0.06493241520020403","0.05836236933797909","0.061647392269091564"
"Downtown Whitby Development Steering Committee-15 Feb 2018.pdf","Downtown Whitby Development Steering Committee","2338","7","0","96","55","158","0.11925529201734252","0.13763066202090593","0.12844297701912422"
"Regular Council-25 Apr 2012.pdf","Regular Council","858","0","3","37","24","64","0.04376434583014537","0.05574912891986063","0.049756737375002996"
"Active Transportation and Safe Roads Advisory Committee-09 Jan 2025.pdf","Active Transportation and Safe Roads Advisory Committee","1095","5","0","27","46","78","0.0558530986993114","0.06794425087108014","0.06189867478519577"
"Special Council-06 Feb 2023.pdf","Special Council","2021","11","0","75","53","139","0.10308594746238205","0.1210801393728223","0.11208304341760217"
"Public Meetings-31 May 2021.pdf","Public Meetings","3658","19","0","73","101","193","0.18658505483295076","0.1681184668989547","0.17735176086595272"
"Regular Council-22 Mar 2010.pdf","Regular Council","611","0","0","12","23","35","0.031165519000255038","0.03048780487804878","0.030826661939151907"
"Regular Council-20 May 2008.pdf","Regular Council","6037","21","1","188","70","280","0.30793165008926293","0.24390243902439024","0.2759170445568266"
"Whitby Diversity and Inclusion Advisory Committee-03 Oct 2019.pdf","Whitby Diversity and Inclusion Advisory Committee","1059","4","0","41","30","75","0.054016832440703905","0.06533101045296168","0.05967392144683279"
"Committee of the Whole-14 Sep 2020.pdf","Committee of the Whole","3806","20","1","92","81","194","0.19413414945167048","0.16898954703832753","0.181561848244999"
"Regular Council-20 Apr 2009.pdf","Regular Council","5093","22","0","157","84","263","0.25978066819688855","0.22909407665505227","0.2444373724259704"
"Regular Council-16 Mar 2009.pdf","Regular Council","442","4","0","16","17","37","0.022545269064014283","0.032229965156794424","0.027387617110404355"
"Regular Council-06 Sep 2011.pdf","Regular Council","881","0","0","18","32","50","0.044937515939811275","0.04355400696864112","0.04424576145422619"
"Regular Council-19 Feb 2008.pdf","Regular Council","1362","0","0","54","49","103","0.06947207345065035","0.0897212543554007","0.07959666390302553"
"Committee of the Whole-11 Jan 2021.pdf","Committee of the Whole","5796","31","0","124","99","254","0.2956388676358072","0.22125435540069685","0.25844661151825205"
"Accessibility Advisory Committee-04 Feb 2020.pdf","Accessibility Advisory Committee","1641","11","0","73","35","119","0.08370313695485845","0.10365853658536585","0.09368083677011216"
"Committee of the Whole-23 Sep 2024.pdf","Committee of the Whole","5492","24","0","141","108","273","0.2801326192297883","0.23780487804878048","0.25896874863928443"
"Special Council-22 Feb 2021.pdf","Special Council","1346","2","0","39","37","78","0.06865595511349146","0.06794425087108014","0.0683001029922858"
"Property Standards Appeal Committee-21 Aug 2019.pdf","Property Standards Appeal Committee","1456","1","0","32","38","71","0.07426676868145882","0.06184668989547038","0.0680567292884646"
"Special Council-26 Feb 2015.pdf","Special Council","3118","17","1","84","54","156","0.1590410609538383","0.13588850174216027","0.14746478134799929"
"Regular Council-30 Jan 2008.pdf","Regular Council","412","0","0","11","18","29","0.021015047181841367","0.025261324041811847","0.02313818561182661"
"Special Council-15 Feb 2024.pdf","Special Council","6603","11","0","172","145","328","0.3368018362662586","0.2857142857142857","0.31125806099027215"
"Whitby Diversity and Inclusion Advisory Committee-04 Feb 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","2174","1","1","63","47","112","0.1108900790614639","0.0975609756097561","0.10422552733561"
"Regular Council-21 Nov 2016.pdf","Regular Council","5969","27","0","214","118","359","0.30446314715633765","0.3127177700348432","0.3085904585955904"
"Special Council-25 Feb 2021.pdf","Special Council","3255","2","4","73","98","177","0.1660290742157613","0.15418118466898956","0.16010512944237543"
