"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Whitby Sustainability Advisory Committee-01 May 2024.pdf","Whitby Sustainability Advisory Committee","1073","1","0","43","31","75","0.05473093598571793","0.06533101045296168","0.060030973219339805"
"Special Council-26 Nov 2013.pdf","Special Council","666","2","0","11","27","40","0.033970925784238715","0.03484320557491289","0.0344070656795758"
"Special Council-27 May 2024.pdf","Special Council","832","1","0","20","28","49","0.04243815353226218","0.042682926829268296","0.04256054018076524"
"Heritage Whitby Advisory Committee-11 Apr 2023.pdf","Heritage Whitby Advisory Committee","899","3","0","34","35","72","0.045855649069115025","0.0627177700348432","0.05428670955197912"
"In Camera Council Session-21 Jan 2013.pdf","In Camera Council Session","405","0","0","12","19","31","0.020657995409334353","0.02700348432055749","0.023830739864945924"
"Committee of the Whole-11 Feb 2019.pdf","Committee of the Whole","3922","4","1","146","59","210","0.20005100739607243","0.18292682926829268","0.19148891833218257"
"Special Council-22 Jan 2024.pdf","Special Council","451","1","0","8","22","31","0.023004335628666158","0.02700348432055749","0.025003909974611827"
"Whitby Diversity and Inclusion Advisory Committee-05 Nov 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1583","2","0","53","35","90","0.08074470798265748","0.078397212543554","0.07957096026310574"
"Regular Council-08 Mar 2021.pdf","Regular Council","10593","28","0","334","179","541","0.5403213465952563","0.4712543554006969","0.5057878509979766"
"Accessibility Advisory Committee-02 Nov 2021.pdf","Accessibility Advisory Committee","1424","1","0","45","40","86","0.07263453200714104","0.07491289198606271","0.07377371199660188"
"Whitby Diversity and Inclusion Advisory Committee-07 Apr 2022.pdf","Whitby Diversity and Inclusion Advisory Committee","1504","4","10","55","47","116","0.07671512369293547","0.10104529616724739","0.08888020993009144"
"Regular Council-10 Oct 2017.pdf","Regular Council","3814","19","0","101","90","210","0.19454220862024993","0.18292682926829268","0.1887345189442713"
"Joint AAC and WDIAC-03 Feb 2022.pdf","Joint AAC and WDIAC","1397","4","2","37","36","79","0.07125733231318541","0.06881533101045297","0.07003633166181919"
"Committee of the Whole-10 Jun 2019.pdf","Committee of the Whole","7296","41","2","232","119","394","0.372149961744453","0.343205574912892","0.3576777683286725"
"Special Council-27 Sep 2019.pdf","Special Council","465","0","0","16","25","41","0.023718439173680182","0.03571428571428571","0.029716362443982947"
"Committee of the Whole-21 Oct 2019.pdf","Committee of the Whole","6015","54","0","192","86","332","0.3068094873756695","0.289198606271777","0.2980040468237233"
"Ethno Cultural and Diversity Advisory Committee-07 Jun 2018.pdf","Ethno Cultural and Diversity Advisory Committee","1233","4","1","37","20","62","0.0628921193573068","0.05400696864111498","0.058449543999210894"
"Heritage Whitby Advisory Committee-10 Sep 2024.pdf","Heritage Whitby Advisory Committee","687","8","0","24","23","55","0.035042081101759756","0.04790940766550523","0.041475744383632496"
"Special Council-23 Nov 2020.pdf","Special Council","1768","2","4","34","56","96","0.09018107625605713","0.08362369337979095","0.08690238481792403"
"Whitby Diversity and Inclusion Advisory Committee-04 Jan 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","1194","1","1","33","40","75","0.06090283091048202","0.06533101045296168","0.06311692068172185"
"Special Council-31 Jan 2022.pdf","Special Council","1128","1","0","31","24","56","0.057536342769701605","0.04878048780487805","0.05315841528728983"
"Committee of Adjustment-22 Mar 2018.pdf","Committee of Adjustment","4950","13","0","61","80","154","0.252486610558531","0.13414634146341464","0.19331647601097282"
"Ethno Cultural and Diversity Advisory Committee-01 Feb 2018.pdf","Ethno Cultural and Diversity Advisory Committee","854","2","0","30","26","58","0.04356031624585565","0.050522648083623695","0.047041482164739676"
"Whitby Sustainability Advisory Committee-03 Jan 2024.pdf","Whitby Sustainability Advisory Committee","1448","2","1","52","49","104","0.07385870951287937","0.09059233449477352","0.08222552200382645"
"Special Council-19 Jun 2023.pdf","Special Council","1103","1","0","21","43","65","0.05626115786789084","0.05662020905923345","0.056440683463562145"
"Regular Council-26 Jun 2017.pdf","Regular Council","13253","57","1","427","210","695","0.6760010201479214","0.6054006968641115","0.6407008585060164"
"Public Meetings-16 Oct 2024.pdf","Public Meetings","601","1","0","30","8","39","0.030655445039530733","0.03397212543554007","0.0323137852375354"
"Special Council-30 Mar 2015.pdf","Special Council","401","1","0","3","18","22","0.02045396582504463","0.01916376306620209","0.01980886444562336"
"Committee of the Whole-17 Jun 2019.pdf","Committee of the Whole","6455","27","0","225","92","344","0.32925274164753887","0.29965156794425085","0.31445215479589483"
"Heritage Whitby Advisory Committee-14 Aug 2018.pdf","Heritage Whitby Advisory Committee","2807","12","2","86","66","166","0.1431777607753124","0.1445993031358885","0.14388853195560047"
"Special Council-25 Apr 2016.pdf","Special Council","644","1","0","17","21","39","0.03284876307064524","0.03397212543554007","0.033410444253092655"
"Special Council-01 Dec 2022.pdf","Special Council","735","2","0","16","22","40","0.03749043611323642","0.03484320557491289","0.03616682084407466"
"Accessibility Advisory Committee-06 Mar 2018.pdf","Accessibility Advisory Committee","1849","2","0","70","28","100","0.09431267533792399","0.08710801393728224","0.09071034463760311"
"Regular Council-22 Jun 2009.pdf","Regular Council","387","0","0","15","16","31","0.019739862280030603","0.02700348432055749","0.02337167330029405"
"Whitby Sustainability Advisory Committee-06 Mar 2019.pdf","Whitby Sustainability Advisory Committee","1495","6","0","60","44","110","0.07625605712828361","0.09581881533101046","0.08603743622964703"
"Regular Council-13 Oct 2009.pdf","Regular Council","4572","12","0","147","61","220","0.23320581484315225","0.1916376306620209","0.21242172275258658"
"Regular Council-09 Dec 2013.pdf","Regular Council","7855","34","1","276","146","457","0.4006630961489416","0.3980836236933798","0.3993733599211607"
"Special Council-16 Jan 2017.pdf","Special Council","1052","1","0","21","33","55","0.05365978066819689","0.04790940766550523","0.05078459416685106"
"Joint BDDSC and DWDSC Meeting-26 Nov 2020.pdf","Joint BDDSC and DWDSC Meeting","2031","15","0","66","52","133","0.10359602142310635","0.11585365853658537","0.10972483997984586"
"Special Council-26 Jul 2023.pdf","Special Council","3340","8","0","118","74","200","0.17036470288191788","0.17421602787456447","0.17229036537824116"
"Regular Council-08 Sep 2009.pdf","Regular Council","509","0","0","18","18","36","0.025962764600867126","0.0313588850174216","0.028660824809144364"
