,sum_sq,df,F,PR(>F),mean_sq,eta_sq,omega_sq
Intercept,0.22212966819380747,1.0,5200.000000000002,4.0325829415179054e-43,0.22212966819380747,0.4981320049813195,0.4979885057471259
C(system),1.8350127756516462e-31,1.0,4.2957190324811265e-27,1.0,1.8350127756516462e-31,4.115067566319686e-31,-9.578544061302669e-05
C(learning_rate),1.0043564233023666e-32,1.0,2.351173278040265e-28,1.0,1.0043564233023666e-32,2.252297421247497e-32,-9.578544061302669e-05
C(lora_rank),1.0400021699691056e-32,1.0,2.4346190798434347e-28,1.0,1.0400021699691056e-32,2.3322340069388174e-32,-9.578544061302669e-05
C(year_group),0.22212966819380794,2.0,2600.000000000006,3.165308669716906e-42,0.11106483409690397,0.49813200498132054,0.4978927203065139
C(learning_rate):C(lora_rank),1.5730032820782755e-31,1.0,3.682361358263203e-27,1.0,1.5730032820782755e-31,3.527503935494969e-31,-9.578544061302669e-05
C(year_group):C(system),1.5026252217104573e-31,2.0,1.7588040391968244e-27,1.0,7.513126108552286e-32,3.3696791631321433e-31,-0.00019157088122605338
Residual,0.0016659725114535557,39.0,,,4.271724388342451e-05,0.0037359900373598954,-4.862241725544556e-19
