,sum_sq,df,F,PR(>F),mean_sq,eta_sq,omega_sq
Intercept,0.22413333333333285,1.0,2428.111111111106,9.660380406818478e-37,0.22413333333333285,0.4960165240483913,0.4957109789860658
C(system),1.9647636254138792e-31,1.0,2.1284939275317024e-27,1.0,1.9647636254138792e-31,4.348104806905904e-31,-0.00020423909590160235
C(learning_rate),1.02293997774734e-32,1.0,1.1081849758929516e-28,1.0,1.02293997774734e-32,2.263809334052835e-32,-0.00020423909590160235
C(lora_rank),1.0400021699691059e-32,1.0,1.1266690174665312e-28,1.0,1.0400021699691059e-32,2.3015686853845683e-32,-0.00020423909590160235
C(year_group),0.22413333333333335,2.0,1214.0555555555557,7.552313461560383e-36,0.11206666666666668,0.4960165240483924,0.4955067398901653
C(learning_rate):C(lora_rank),1.6697812617837341e-31,1.0,1.808929700265712e-27,1.0,1.6697812617837341e-31,3.695296389311897e-31,-0.00020423909590160235
C(year_group):C(system),1.42736523005569e-31,2.0,7.7315616628016555e-28,1.0,7.13682615027845e-32,3.1588194822713743e-31,-0.0004084781918032047
Residual,0.0036,39.0,,,9.23076923076923e-05,0.007966951903216297,0.0
